"cement","blast_furnace_slag","fly_ash","water","superplasticizer","coarse_aggregate","fine_aggregate","age","concrete_compressive_strength"
3040,760,0,2280,0,9320,6700,180,5095
3325,1425,0,2280,0,9320,5940,28,3302
3040,760,0,2280,0,9320,6700,270,5438
2660,1140,0,2280,0,9320,6700,270,5173
3100,0,0,1920,0,9710,8506,3,987
1900,1900,0,2280,0,9320,6700,270,5066
2660,1140,0,2280,0,9320,6700,180,4870
3420,380,0,2280,0,9320,6700,270,5506
1396,2094,0,1920,0,10470,8069,360,4470
3325,1425,0,2280,0,9320,5940,7,3028
1900,1900,0,2280,0,9320,6700,28,4086
4850,0,0,1460,0,11200,8000,28,7199
3740,1892,0,1701,101,9261,7567,3,3440
3133,2622,0,1755,86,10469,6118,3,2880
4250,1063,0,1535,165,8521,8871,3,3340
4250,1063,0,1514,186,9360,8037,3,3630
3750,938,0,1266,234,8521,9926,3,2900
4750,1188,0,1811,89,8521,7815,3,3780
4690,1172,0,1378,322,8521,8405,3,4020
4250,1063,0,1535,165,8521,8871,3,3340
3886,971,0,1579,121,8521,9257,3,2810
5313,0,0,1418,282,8521,8937,3,4130
4250,1063,0,1535,165,8521,8871,3,3340
3188,2125,0,1557,143,8521,8804,3,2520
4018,947,0,1474,114,9468,8521,3,4110
3626,1890,0,1649,116,9447,7558,3,3530
3237,2828,0,1838,103,9427,6599,3,2830
3795,1512,0,1539,159,11343,6050,3,2860
3626,1890,0,1649,116,9447,7558,3,3530
2863,2009,0,1447,112,10046,8037,3,2440
3626,1890,0,1649,116,9447,7558,3,3530
4390,1770,0,1860,111,8849,7079,3,3930
3899,1890,0,1459,220,9447,7558,3,4060
3626,1890,0,1649,116,9447,7558,3,3530
3379,1890,0,1749,95,9447,7558,3,2410
3740,1892,0,1701,101,9261,7567,7,4620
3133,2622,0,1755,86,10469,6118,7,4280
4250,1063,0,1535,165,8521,8871,7,4920
4250,1063,0,1514,186,9360,8037,7,4680
3750,938,0,1266,234,8521,9926,7,4570
4750,1188,0,1811,89,8521,7815,7,5560
4690,1172,0,1378,322,8521,8405,7,5490
4250,1063,0,1535,165,8521,8871,7,4920
3886,971,0,1579,121,8521,9257,7,3490
5313,0,0,1418,282,8521,8937,7,4690
4250,1063,0,1535,165,8521,8871,7,4920
3188,2125,0,1557,143,8521,8804,7,3340
4018,947,0,1474,114,9468,8521,7,5410
3626,1890,0,1649,116,9447,7558,7,5590
3237,2828,0,1838,103,9427,6599,7,4980
3795,1512,0,1539,159,11343,6050,7,4710
3626,1890,0,1649,116,9447,7558,7,5590
2863,2009,0,1447,112,10046,8037,7,3800
3626,1890,0,1649,116,9447,7558,7,5590
4390,1770,0,1860,111,8849,7079,7,5610
3899,1890,0,1459,220,9447,7558,7,5909
3626,1890,0,1649,116,9447,7558,7,2290
3379,1890,0,1749,95,9447,7558,7,3510
3740,1892,0,1701,101,9261,7567,28,6109
3133,2622,0,1755,86,10469,6118,28,5980
4250,1063,0,1535,165,8521,8871,28,6029
4250,1063,0,1514,186,9360,8037,28,6180
3750,938,0,1266,234,8521,9926,28,5670
4750,1188,0,1811,89,8521,7815,28,6830
4690,1172,0,1378,322,8521,8405,28,6690
4250,1063,0,1535,165,8521,8871,28,6029
3886,971,0,1579,121,8521,9257,28,5070
5313,0,0,1418,282,8521,8937,28,5640
4250,1063,0,1535,165,8521,8871,28,6029
3188,2125,0,1557,143,8521,8804,28,5550
4018,947,0,1474,114,9468,8521,28,6850
3626,1890,0,1649,116,9447,7558,28,7130
3237,2828,0,1838,103,9427,6599,28,7470
3795,1512,0,1539,159,11343,6050,28,5220
3626,1890,0,1649,116,9447,7558,28,7130
2863,2009,0,1447,112,10046,8037,28,6770
3626,1890,0,1649,116,9447,7558,28,7130
4390,1770,0,1860,111,8849,7079,28,6600
3899,1890,0,1459,220,9447,7558,28,7450
3626,1890,0,1649,116,9447,7558,28,7130
3379,1890,0,1749,95,9447,7558,28,4990
3740,1892,0,1701,101,9261,7567,56,6340
3133,2622,0,1755,86,10469,6118,56,6490
4250,1063,0,1535,165,8521,8871,56,6430
4250,1063,0,1514,186,9360,8037,56,6490
3750,938,0,1266,234,8521,9926,56,6020
4750,1188,0,1811,89,8521,7815,56,7230
4690,1172,0,1378,322,8521,8405,56,6930
4250,1063,0,1535,165,8521,8871,56,6430
3886,971,0,1579,121,8521,9257,56,5520
5313,0,0,1418,282,8521,8937,56,5880
4250,1063,0,1535,165,8521,8871,56,6430
3188,2125,0,1557,143,8521,8804,56,6610
4018,947,0,1474,114,9468,8521,56,7370
3626,1890,0,1649,116,9447,7558,56,7730
3237,2828,0,1838,103,9427,6599,56,8020
3795,1512,0,1539,159,11343,6050,56,5490
3626,1890,0,1649,116,9447,7558,56,7730
2863,2009,0,1447,112,10046,8037,56,7299
3626,1890,0,1649,116,9447,7558,56,7730
4390,1770,0,1860,111,8849,7079,56,7170
3899,1890,0,1459,220,9447,7558,56,7940
3626,1890,0,1649,116,9447,7558,56,7730
3379,1890,0,1749,95,9447,7558,56,5989
3740,1892,0,1701,101,9261,7567,91,6490
3133,2622,0,1755,86,10469,6118,91,6660
4250,1063,0,1535,165,8521,8871,91,6520
4250,1063,0,1514,186,9360,8037,91,6670
3750,938,0,1266,234,8521,9926,91,6250
4750,1188,0,1811,89,8521,7815,91,7419
4690,1172,0,1378,322,8521,8405,91,7070
4250,1063,0,1535,165,8521,8871,91,6520
3886,971,0,1579,121,8521,9257,91,5760
5313,0,0,1418,282,8521,8937,91,5920
4250,1063,0,1535,165,8521,8871,91,6520
3188,2125,0,1557,143,8521,8804,91,6810
4018,947,0,1474,114,9468,8521,91,7550
3626,1890,0,1649,116,9447,7558,91,7930
3795,1512,0,1539,159,11343,6050,91,5650
3626,1890,0,1649,116,9447,7558,91,7930
2863,2009,0,1447,112,10046,8037,91,7680
3626,1890,0,1649,116,9447,7558,91,7930
4390,1770,0,1860,111,8849,7079,91,7330
3899,1890,0,1459,220,9447,7558,91,8260
3626,1890,0,1649,116,9447,7558,91,7930
3379,1890,0,1749,95,9447,7558,91,6780
2224,0,967,1893,45,9671,8703,3,1158
2224,0,967,1893,45,9671,8703,14,2445
2224,0,967,1893,45,9671,8703,28,2489
2224,0,967,1893,45,9671,8703,56,2945
2224,0,967,1893,45,9671,8703,100,4071
2338,0,946,1979,46,9470,8522,3,1038
2338,0,946,1979,46,9470,8522,14,2214
2338,0,946,1979,46,9470,8522,28,2284
2338,0,946,1979,46,9470,8522,56,2766
2338,0,946,1979,46,9470,8522,100,3456
1947,0,1005,1656,75,10064,9059,3,1245
1947,0,1005,1656,75,10064,9059,14,2499
1947,0,1005,1656,75,10064,9059,28,2572
1947,0,1005,1656,75,10064,9059,56,3396
1947,0,1005,1656,75,10064,9059,100,3734
1907,0,1254,1621,78,10900,8040,3,1504
1907,0,1254,1621,78,10900,8040,14,2106
1907,0,1254,1621,78,10900,8040,28,2640
1907,0,1254,1621,78,10900,8040,56,3534
1907,0,1254,1621,78,10900,8040,100,4057
2121,0,1216,1803,57,10576,7793,3,1247
2121,0,1216,1803,57,10576,7793,14,2092
2121,0,1216,1803,57,10576,7793,28,2490
2121,0,1216,1803,57,10576,7793,56,3420
2121,0,1216,1803,57,10576,7793,100,3961
2300,0,1183,1955,46,10294,7586,3,1003
2300,0,1183,1955,46,10294,7586,14,2008
2300,0,1183,1955,46,10294,7586,28,2448
2300,0,1183,1955,46,10294,7586,56,3154
2300,0,1183,1955,46,10294,7586,100,3534
1903,0,1252,1619,99,10881,8026,3,945
1903,0,1252,1619,99,10881,8026,14,2272
1903,0,1252,1619,99,10881,8026,28,2847
1903,0,1252,1619,99,10881,8026,56,3856
1903,0,1252,1619,99,10881,8026,100,4039
1661,0,1633,1765,45,10586,7801,3,1076
1661,0,1633,1765,45,10586,7801,14,2548
1661,0,1633,1765,45,10586,7801,28,2154
1661,0,1633,1765,45,10586,7801,56,2863
1661,0,1633,1765,45,10586,7801,100,3354
1680,421,1638,1218,57,10587,7801,3,775
1680,421,1638,1218,57,10587,7801,14,1782
1680,421,1638,1218,57,10587,7801,28,2424
1680,421,1638,1218,57,10587,7801,56,3285
1680,421,1638,1218,57,10587,7801,100,3923
2137,981,245,1817,69,10658,7854,3,1800
2137,981,245,1817,69,10658,7854,14,3039
2137,981,245,1817,69,10658,7854,28,4571
2137,981,245,1817,69,10658,7854,56,5077
2137,981,245,1817,69,10658,7854,100,5390
2138,981,245,1817,67,10660,7855,3,1318
2138,981,245,1817,67,10660,7855,14,1784
2138,981,245,1817,67,10660,7855,28,4023
2138,981,245,1817,67,10660,7855,56,4713
2138,981,245,1817,67,10660,7855,100,4997
2297,0,1182,1952,61,10281,7576,3,1336
2297,0,1182,1952,61,10281,7576,14,2232
2297,0,1182,1952,61,10281,7576,28,2454
2297,0,1182,1952,61,10281,7576,56,3135
2297,0,1182,1952,61,10281,7576,100,4086
2381,0,941,1867,70,9499,8470,3,1993
2381,0,941,1867,70,9499,8470,14,2569
2381,0,941,1867,70,9499,8470,28,3023
2381,0,941,1867,70,9499,8470,56,3959
2381,0,941,1867,70,9499,8470,100,4430
2500,0,957,1874,55,9569,8612,3,1382
2500,0,957,1874,55,9569,8612,14,2492
2500,0,957,1874,55,9569,8612,28,2922
2500,0,957,1874,55,9569,8612,56,3833
2500,0,957,1874,55,9569,8612,100,4235
2125,0,1004,1593,87,10078,9036,3,1354
2125,0,1004,1593,87,10078,9036,14,2631
2125,0,1004,1593,87,10078,9036,28,3164
2125,0,1004,1593,87,10078,9036,56,4255
2125,0,1004,1593,87,10078,9036,100,4292
2126,0,1004,1594,104,10038,9038,3,1333
2126,0,1004,1594,104,10038,9038,14,2537
2126,0,1004,1594,104,10038,9038,28,3740
2126,0,1004,1594,104,10038,9038,56,4440
2126,0,1004,1594,104,10038,9038,100,4774
2120,0,1248,1590,78,10854,7995,3,1952
2120,0,1248,1590,78,10854,7995,14,3135
2120,0,1248,1590,78,10854,7995,28,3850
2120,0,1248,1590,78,10854,7995,56,4508
2120,0,1248,1590,78,10854,7995,100,4782
2318,0,1216,1740,67,10564,7785,3,1544
2318,0,1216,1740,67,10564,7785,14,2677
2318,0,1216,1740,67,10564,7785,28,3373
2318,0,1216,1740,67,10564,7785,56,4270
2318,0,1216,1740,67,10564,7785,100,4584
2514,0,1183,1885,58,10284,7577,3,1722
2514,0,1183,1885,58,10284,7577,14,2993
2514,0,1183,1885,58,10284,7577,28,2965
2514,0,1183,1885,58,10284,7577,56,3697
2514,0,1183,1885,58,10284,7577,100,4358
2514,0,1183,1885,64,10284,7577,3,1312
2514,0,1183,1885,64,10284,7577,14,2443
2514,0,1183,1885,64,10284,7577,28,3266
2514,0,1183,1885,64,10284,7577,56,3664
2514,0,1183,1885,64,10284,7577,100,4421
1814,0,1670,1696,76,10556,7778,3,1362
1814,0,1670,1696,76,10556,7778,14,2160
1814,0,1670,1696,76,10556,7778,28,2777
1814,0,1670,1696,76,10556,7778,56,3557
1814,0,1670,1696,76,10556,7778,100,4537
1820,452,1220,1702,82,10594,7807,3,732
1820,452,1220,1702,82,10594,7807,14,2150
1820,452,1220,1702,82,10594,7807,28,3127
1820,452,1220,1702,82,10594,7807,56,4350
1820,452,1220,1702,82,10594,7807,100,4867
1689,422,1243,1583,108,10808,7962,3,740
1689,422,1243,1583,108,10808,7962,14,2351
1689,422,1243,1583,108,10808,7962,28,3112
1689,422,1243,1583,108,10808,7962,56,3915
1689,422,1243,1583,108,10808,7962,100,4815
2904,0,962,1681,94,9612,8650,3,2250
2904,0,962,1681,94,9612,8650,14,3467
2904,0,962,1681,94,9612,8650,28,3474
2904,0,962,1681,94,9612,8650,56,4508
2904,0,962,1681,94,9612,8650,100,4897
2771,0,974,1606,118,9739,8756,3,2314
2771,0,974,1606,118,9739,8756,14,4189
2771,0,974,1606,118,9739,8756,28,4828
2771,0,974,1606,118,9739,8756,56,5104
2771,0,974,1606,118,9739,8756,100,5564
2957,0,956,1715,89,9551,8592,3,2295
2957,0,956,1715,89,9551,8592,14,3523
2957,0,956,1715,89,9551,8592,28,3994
2957,0,956,1715,89,9551,8592,56,4872
2957,0,956,1715,89,9551,8592,100,5204
2518,0,999,1461,124,10060,8998,3,2102
2518,0,999,1461,124,10060,8998,14,3336
2518,0,999,1461,124,10060,8998,28,3394
2518,0,999,1461,124,10060,8998,56,4414
2518,0,999,1461,124,10060,8998,100,4537
2491,0,988,1581,128,9878,8890,3,1536
2491,0,988,1581,128,9878,8890,14,2868
2491,0,988,1581,128,9878,8890,28,3085
2491,0,988,1581,128,9878,8890,56,4203
2491,0,988,1581,128,9878,8890,100,5106
2523,0,988,1463,142,9878,8890,3,2178
2523,0,988,1463,142,9878,8890,14,4229
2523,0,988,1463,142,9878,8890,28,5060
2523,0,988,1463,142,9878,8890,56,5583
2523,0,988,1463,142,9878,8890,100,6095
2468,0,1251,1433,120,10868,8009,3,2352
2468,0,1251,1433,120,10868,8009,14,4222
2468,0,1251,1433,120,10868,8009,28,5250
2468,0,1251,1433,120,10868,8009,56,6032
2468,0,1251,1433,120,10868,8009,100,6642
2751,0,1214,1595,99,10536,7775,3,2380
2751,0,1214,1595,99,10536,7775,14,3877
2751,0,1214,1595,99,10536,7775,28,5133
2751,0,1214,1595,99,10536,7775,56,5685
2751,0,1214,1595,99,10536,7775,100,5861
2972,0,1175,1748,95,10228,7535,3,2191
2972,0,1175,1748,95,10228,7535,14,3699
2972,0,1175,1748,95,10228,7535,28,4740
2972,0,1175,1748,95,10228,7535,56,5196
2972,0,1175,1748,95,10228,7535,100,5674
2137,0,1747,1548,102,10535,7764,3,1757
2137,0,1747,1548,102,10535,7764,14,3373
2137,0,1747,1548,102,10535,7764,28,4015
2137,0,1747,1548,102,10535,7764,56,4664
2137,0,1747,1548,102,10535,7764,100,5008
2135,0,1742,1546,117,10523,7755,3,1737
2135,0,1742,1546,117,10523,7755,14,3370
2135,0,1742,1546,117,10523,7755,28,4594
2135,0,1742,1546,117,10523,7755,56,5143
2135,0,1742,1546,117,10523,7755,100,5930
2772,978,245,1607,112,10617,7825,3,3045
2772,978,245,1607,112,10617,7825,14,4771
2772,978,245,1607,112,10617,7825,28,6314
2772,978,245,1607,112,10617,7825,56,6682
2772,978,245,1607,112,10617,7825,100,6695
2182,546,1238,1408,119,10757,7927,3,2742
2182,546,1238,1408,119,10757,7927,14,3596
2182,546,1238,1408,119,10757,7927,28,5551
2182,546,1238,1408,119,10757,7927,56,6199
2182,546,1238,1408,119,10757,7927,100,6353
2149,538,1219,1556,96,10143,7806,3,1802
2149,538,1219,1556,96,10143,7806,14,3860
2149,538,1219,1556,96,10143,7806,28,5220
2149,538,1219,1556,96,10143,7806,56,5396
2149,538,1219,1556,96,10143,7806,100,5663
2189,0,1241,1585,113,10787,7949,3,1534
2189,0,1241,1585,113,10787,7949,14,2605
2189,0,1241,1585,113,10787,7949,28,3022
2189,0,1241,1585,113,10787,7949,56,3727
2189,0,1241,1585,113,10787,7949,100,4623
3760,0,0,2146,0,10035,7624,3,1628
3760,0,0,2146,0,10035,7624,14,2562
3760,0,0,2146,0,10035,7624,28,3197
3760,0,0,2146,0,10035,7624,56,3630
3760,0,0,2146,0,10035,7624,100,4306
5000,0,0,1400,40,9660,8530,28,6757
4750,0,590,1420,19,10980,6410,28,5723
3150,1370,0,1450,59,11300,7450,28,8175
5050,0,600,1950,0,10300,6300,28,6402
4510,0,0,1650,113,10300,7450,28,7880
5160,0,0,1620,82,8010,8020,28,4137
5200,0,0,1700,52,8550,8550,28,6028
5280,0,0,1850,69,9200,7200,28,5683
5200,0,0,1750,52,8700,8050,28,5102
3850,0,1360,1580,200,9030,7680,28,5555
5001,0,0,2000,30,11244,6132,28,4413
4501,500,0,2000,30,11244,6132,28,3938
3970,172,1580,1670,208,9670,6330,28,5565
3330,175,1630,1670,179,9960,6520,28,4728
3340,176,1580,1890,153,9670,6330,28,4433
4050,0,0,1750,0,11200,6950,28,5230
2000,2000,0,1900,0,11450,6600,28,4925
5160,0,0,1620,83,8010,8020,28,4137
1450,1160,1190,1840,57,8330,8800,28,2916
1600,1280,1220,1820,64,8240,8790,28,3940
2340,1560,0,1890,59,9810,7600,28,3930
2500,1800,950,1590,95,8600,8000,28,6787
4750,0,0,1620,95,10440,6620,28,5852
2850,1900,0,1630,76,10310,6850,28,5358
3560,1190,0,1600,90,10610,6570,28,5900
2750,1800,1200,1620,104,8300,7650,28,7624
5000,0,0,1510,90,10330,6550,28,6984
1650,0,1436,1638,0,10056,9009,3,1440
1650,1285,1321,1751,81,10058,7466,3,1942
1780,1298,1186,1799,36,10073,7468,3,2073
1674,1299,1286,1755,78,10063,7466,3,1494
1724,136,1724,1568,41,10063,8564,3,2129
1735,501,1735,1648,65,10062,7935,3,2308
1670,754,1670,1640,79,10073,7701,3,1552
1738,934,1599,1723,97,10072,7466,3,1582
1903,0,1252,1666,99,10790,7989,3,1255
2500,0,957,1918,53,9489,8572,3,849
2135,0,1742,1592,117,10436,7719,3,1561
1947,0,1005,1702,75,9980,9018,3,1218
2514,0,1183,1929,58,10436,7543,3,1198
1650,0,1436,1638,0,10056,9009,14,1688
1650,1285,1321,1751,81,10058,7466,14,3309
1780,1298,1186,1799,36,10073,7468,14,3424
1674,1299,1286,1755,78,10063,7466,14,3181
1724,136,1724,1568,41,10063,8564,14,2975
1735,501,1735,1648,65,10062,7935,14,3301
1670,754,1670,1640,79,10073,7701,14,3290
1738,934,1599,1723,97,10072,7466,14,2955
1903,0,1252,1666,99,10790,7989,14,1942
2500,0,957,1918,53,9489,8572,14,2466
2135,0,1742,1592,117,10436,7719,14,2959
1947,0,1005,1702,75,9980,9018,14,2428
2514,0,1183,1929,58,10436,7543,14,2073
1650,0,1436,1638,0,10056,9009,28,2620
1650,1285,1321,1751,81,10058,7466,28,4639
1780,1298,1186,1799,36,10073,7468,28,3916
1674,1299,1286,1755,78,10063,7466,28,4120
1724,136,1724,1568,41,10063,8564,28,3369
1735,501,1735,1648,65,10062,7935,28,3820
1670,754,1670,1640,79,10073,7701,28,4141
1738,934,1599,1723,97,10072,7466,28,3781
1903,0,1252,1666,99,10790,7989,28,2485
2500,0,957,1918,53,9489,8572,28,2722
2135,0,1742,1592,117,10436,7719,28,4464
1947,0,1005,1702,75,9980,9018,28,3727
2514,0,1183,1929,58,10436,7543,28,3327
1650,0,1436,1638,0,10056,9009,56,3656
1650,1285,1321,1751,81,10058,7466,56,5372
1780,1298,1186,1799,36,10073,7468,56,4859
1674,1299,1286,1755,78,10063,7466,56,5172
1724,136,1724,1568,41,10063,8564,56,3585
1735,501,1735,1648,65,10062,7935,56,5377
1670,754,1670,1640,79,10073,7701,56,5346
1738,934,1599,1723,97,10072,7466,56,4899
1903,0,1252,1666,99,10790,7989,56,3172
2500,0,957,1918,53,9489,8572,56,3964
2135,0,1742,1592,117,10436,7719,56,5126
1947,0,1005,1702,75,9980,9018,56,4339
2514,0,1183,1929,58,10436,7543,56,3927
1650,0,1436,1638,0,10056,9009,100,3796
1650,1285,1321,1751,81,10058,7466,100,5502
1780,1298,1186,1799,36,10073,7468,100,4999
1674,1299,1286,1755,78,10063,7466,100,5366
1724,136,1724,1568,41,10063,8564,100,3768
1735,501,1735,1648,65,10062,7935,100,5606
1670,754,1670,1640,79,10073,7701,100,5681
1738,934,1599,1723,97,10072,7466,100,5094
1903,0,1252,1666,99,10790,7989,100,3356
2500,0,957,1918,53,9489,8572,100,4116
2135,0,1742,1592,117,10436,7719,100,5296
1947,0,1005,1702,75,9980,9018,100,4428
2514,0,1183,1929,58,10436,7543,100,4015
4460,240,790,1620,116,9670,7120,28,5703
4460,240,790,1620,116,9670,7120,28,4442
4460,240,790,1620,116,9670,7120,28,5102
4460,240,790,1620,103,9670,7120,28,5339
4460,240,790,1620,116,9670,7120,3,3536
4460,240,790,1620,116,9670,7120,3,2502
4460,240,790,1620,116,9670,7120,3,2335
4460,240,790,1620,116,9670,7120,7,5201
4460,240,790,1620,116,9670,7120,7,3802
4460,240,790,1620,116,9670,7120,7,3930
4460,240,790,1620,116,9670,7120,56,6107
4460,240,790,1620,116,9670,7120,56,5614
4460,240,790,1620,116,9670,7120,56,5525
4460,240,790,1620,103,9670,7120,56,5477
3870,200,940,1570,143,9380,8450,28,5024
3870,200,940,1570,139,9380,8450,28,4668
3870,200,940,1570,116,9380,8450,28,4668
3870,200,940,1570,143,9380,8450,3,2275
3870,200,940,1570,139,9380,8450,3,2551
3870,200,940,1570,116,9380,8450,3,3477
3870,200,940,1570,143,9380,8450,7,3684
3870,200,940,1570,139,9380,8450,7,4590
3870,200,940,1570,116,9380,8450,7,4167
3870,200,940,1570,143,9380,8450,56,5634
3870,200,940,1570,139,9380,8450,56,4797
3870,200,940,1570,116,9380,8450,56,6146
3550,190,970,1450,131,9670,8710,28,4403
3550,190,970,1450,123,9670,8710,28,5545
4910,260,1230,2100,39,8820,6990,28,5555
4910,260,1230,2010,39,8220,6990,28,5792
4910,260,1230,2100,39,8820,6990,3,2561
4910,260,1230,2100,39,8820,6990,7,3349
4910,260,1230,2100,39,8820,6990,56,5959
4910,260,1230,2010,39,8220,6990,3,2955
4910,260,1230,2010,39,8220,6990,7,3792
4910,260,1230,2010,39,8220,6990,56,6186
4240,220,1320,1780,85,8220,7500,28,6205
4240,220,1320,1780,85,8820,7500,3,3201
4240,220,1320,1680,89,8220,7500,28,7210
4240,220,1320,1780,85,8220,7500,7,3900
4240,220,1320,1780,85,8220,7500,56,6570
4240,220,1320,1680,89,8220,7500,3,3211
4240,220,1320,1680,89,8220,7500,7,4029
4240,220,1320,1680,89,8220,7500,56,7436
2020,110,1410,2060,17,9420,8010,28,2197
2020,110,1410,2060,17,9420,8010,3,985
2020,110,1410,2060,17,9420,8010,7,1507
2020,110,1410,2060,17,9420,8010,56,2325
2840,150,1410,1790,55,8420,8010,28,4373
2840,150,1410,1790,55,8420,8010,3,1340
2840,150,1410,1790,55,8420,8010,7,2413
2840,150,1410,1790,55,8420,8010,56,4452
3590,190,1410,1540,109,9420,8010,28,6294
3590,190,1410,1540,109,9420,8010,28,5949
3590,190,1410,1540,109,9420,8010,3,2512
3590,190,1410,1540,109,9420,8010,3,2364
3590,190,1410,1540,109,9420,8010,7,3575
3590,190,1410,1540,109,9420,8010,7,3861
3590,190,1410,1540,109,9420,8010,56,6875
3590,190,1410,1540,109,9420,8010,56,6678
4360,0,0,2180,0,8384,7197,28,2385
2890,0,0,1920,0,9132,8953,90,3207
2890,0,0,1920,0,9132,8953,3,1165
3930,0,0,1920,0,9406,7856,3,1920
3930,0,0,1920,0,9406,7856,90,4885
3930,0,0,1920,0,9406,7856,28,3960
4800,0,0,1920,0,9362,7122,28,4394
4800,0,0,1920,0,9362,7122,7,3457
4800,0,0,1920,0,9362,7122,90,5432
4800,0,0,1920,0,9362,7122,3,2440
3330,0,0,1920,0,9312,8426,3,1562
2550,0,0,1920,0,8898,9450,90,2186
2550,0,0,1920,0,8898,9450,7,1022
2890,0,0,1920,0,9132,8953,7,1460
2550,0,0,1920,0,8898,9450,28,1875
3330,0,0,1920,0,9312,8426,28,3197
3330,0,0,1920,0,9312,8426,7,2340
2890,0,0,1920,0,9132,8953,28,2557
3330,0,0,1920,0,9312,8426,90,4168
3930,0,0,1920,0,9406,7856,7,2774
2550,0,0,1920,0,8898,9450,3,820
1588,2382,0,1857,0,10406,7343,7,962
2396,3594,0,1857,0,9416,6643,7,2542
2382,1588,0,1857,0,10406,7343,7,1569
1819,2728,0,1857,0,10124,7143,28,2794
1935,2902,0,1857,0,9982,7043,28,3263
2555,1703,0,1857,0,10266,7243,7,1724
2728,1819,0,1857,0,10124,7143,7,1977
2396,3594,0,1857,0,9416,6643,28,3944
2208,1472,0,1857,0,10550,7443,28,2575
3970,0,0,1857,0,10406,7343,28,3308
3825,0,0,1857,0,10478,7393,7,2407
2107,3161,0,1857,0,9770,6893,7,2182
1588,2382,0,1857,0,10406,7343,28,2107
2958,0,0,1857,0,10914,7693,7,1484
2555,1703,0,1857,0,10266,7243,28,3205
2035,1357,0,1857,0,10762,7593,7,1196
3970,0,0,1857,0,10406,7343,7,2545
3814,0,0,1857,0,11046,7843,28,2249
2958,0,0,1857,0,10914,7693,28,2522
2280,3421,0,1857,0,9558,6743,28,3970
2208,1472,0,1857,0,10550,7443,7,1309
3161,2107,0,1857,0,9770,6893,28,3870
1357,2035,0,1857,0,10762,7593,7,751
2381,0,0,1857,0,11188,7893,28,1758
3392,0,0,1857,0,10692,7543,7,2118
1357,2035,0,1857,0,10762,7593,28,1820
1935,2902,0,1857,0,9982,7043,7,1720
2035,1357,0,1857,0,10762,7593,28,2263
2902,1935,0,1857,0,9982,7043,7,2186
1819,2728,0,1857,0,10124,7143,7,1237
1703,1555,0,1857,0,10266,7243,28,2573
2107,3161,0,1857,0,9770,6893,28,3781
2280,3421,0,1857,0,9558,6743,7,2192
2902,1935,0,1857,0,9982,7043,28,3304
