id_anuncio	capacidade	nro_quartos	nro_banheiros	regiao_bairro	tipo_acomodacao	avaliacao_media	distancia_ponto_turistico_km	nro_avaliacoes	possui_piscina	possui_estacionamento	possui_wifi	aceita_animais	politica_cancelamento	idioma_anuncio	tempo_resposta_anfitriao_h	preco_diaria
H000061	5	1	1	Boa_Viagem_Recife_PE	espaco_inteiro	4.4	7.84	68	nao	sim	sim	nao	moderada	ingles	3.19	320.14
H000062	5	2	2	Vila_Madalena_SP	espaco_inteiro	4.3	0.1	57	nao	sim	sim	sim	moderada	portugues	4.1	781.56
H000063	3	2	2	Centro_SP	quarto_privativo	4.58	5.9	48	nao	nao	sim	nao	rigorosa	portugues	0.56	583.19
H000064	4	2	2	Pelourinho_Salvador_BA	espaco_inteiro	4.58	2.37	91	nao	nao	sim	nao	moderada	portugues	12.25	888.98
H000065	4	1	1	Boa_Viagem_Recife_PE	quarto_privativo	4.44	10.41	39	nao	nao	sim	nao	moderada	portugues	8.59	246.65
H000066	4	3	2	Centro_SP	espaco_inteiro	4.62	2.77	17	nao	nao	sim	nao	flexivel	ingles	2.59	646.38
H000067	4	2	2	Centro_SP	espaco_inteiro	4.1	1.03	31	nao	sim	sim	nao	flexivel	espanhol	1.07	673.57
H000068	7	3	1	Pinheiros_SP	espaco_inteiro	4.62	1.27	27	nao	sim	sim	nao	moderada	portugues	23.35	1006.89
H000069	8	3	2	Ipanema_RJ	espaco_inteiro	4.79	6.97	177	sim	nao	sim	nao	moderada	espanhol	3.01	1060.93
H000070	10	5	3	Vila_Madalena_SP	espaco_inteiro	4.84	1.98	107	sim	sim	sim	nao	moderada	portugues	4.33	1509.53
H000071	3	1	1	Copacabana_RJ	espaco_inteiro	4.32	3.8	54	nao	sim	sim	nao	rigorosa	espanhol	14.85	573.2
H000072	5	2	2	Vila_Madalena_SP	espaco_inteiro	4.59	0.57	28	nao	sim	sim	nao	flexivel	ingles	0.67	563.33
H000073	2	1	1	Savassi_BH_MG	espaco_inteiro	4.41	2.05	90	nao	nao	sim	nao	flexivel	portugues	2.89	589.76
H000074	1	1	1	Copacabana_RJ	quarto_privativo	4.73	1.55	52	nao	sim	sim	nao	moderada	ingles	4.68	465.64
H000075	4	2	1	Ipanema_RJ	espaco_inteiro	4.38	3.78	39	nao	nao	nao	nao	flexivel	portugues	2.1	957.19
H000076	10	5	3	Pinheiros_SP	espaco_inteiro	4.61	0.74	52	sim	sim	sim	nao	moderada	portugues	3.27	1068.82
H000077	10	5	4	Pinheiros_SP	espaco_inteiro	4.55	1.16	40	nao	sim	nao	nao	rigorosa	portugues	7.04	943.33
H000078	5	2	1	Boa_Viagem_Recife_PE	espaco_inteiro	4.74	0.1	67	nao	sim	sim	sim	rigorosa	portugues	0.26	943.6
H000079	6	2	1	Centro_SP	espaco_inteiro	4.46	1.32	16	sim	sim	sim	sim	flexivel	portugues	0.75	1027.6
H000080	8	3	3	Pelourinho_Salvador_BA	espaco_inteiro	4.68	13.77	67	sim	sim	sim	sim	flexivel	portugues	2.77	1000.15
H000081	7	4	2	Boa_Viagem_Recife_PE	espaco_inteiro	4.87	4.66	40	sim	nao	sim	nao	moderada	portugues	6.65	1364.93
H000082	2	1	1	Vila_Madalena_SP	espaco_inteiro	4.75	6.0	92	nao	sim	sim	nao	moderada	portugues	1.31	689.29
H000083	4	2	1	Pelourinho_Salvador_BA	espaco_inteiro	4.19	7.39	108	nao	sim	sim	nao	moderada	portugues	1.99	669.61
H000084	5	3	2	Copacabana_RJ	espaco_inteiro	4.81	4.22	124	nao	sim	sim	sim	moderada	portugues	5.37	624.83
H000085	3	1	1	Ipanema_RJ	quarto_privativo	4.78	0.51	185	nao	sim	sim	nao	rigorosa	portugues	1.23	863.01
H000086	3	2	2	Ipanema_RJ	espaco_inteiro	4.21	10.37	121	nao	nao	sim	sim	flexivel	portugues	8.72	759.21
H000087	7	5	4	Asa_Sul_Brasilia_DF	espaco_inteiro	3.97	2.59	90	nao	sim	sim	nao	rigorosa	portugues	5.26	812.58
H000088	8	5	3	Vila_Madalena_SP	espaco_inteiro	4.44	2.03	18	nao	nao	sim	nao	rigorosa	portugues	3.01	920.69
H000089	9	4	3	Copacabana_RJ	espaco_inteiro	4.56	3.3	0	sim	sim	nao	sim	flexivel	portugues	2.6	1268.98
H000090	6	3	3	Centro_SP	espaco_inteiro	4.52	5.48	98	nao	sim	sim	nao	moderada	portugues	1.96	783.02
H000091	1	1	1	Copacabana_RJ	espaco_inteiro	4.51	0.2	24	sim	nao	sim	nao	moderada	portugues	2.11	810.02
H000092	3	2	2	Asa_Sul_Brasilia_DF	quarto_privativo	4.28	3.4	270	nao	sim	sim	nao	flexivel	portugues	6.9	577.33
H000093	3	2	2	Vila_Madalena_SP	espaco_inteiro	4.48	5.55	1	nao	nao	nao	nao	rigorosa	portugues	0.2	603.02
H000094	3	2	2	Vila_Madalena_SP	quarto_privativo	4.79	5.46	87	nao	sim	sim	nao	flexivel	portugues	4.25	639.17
H000095	3	2	2	Pinheiros_SP	espaco_inteiro	4.86	2.19	57	nao	sim	sim	sim	moderada	espanhol	11.6	893.21
H000096	5	2	2	Boa_Viagem_Recife_PE	espaco_inteiro	4.33	2.74	1	nao	nao	sim	nao	flexivel	portugues	10.28	550.43
H000097	3	1	1	Pinheiros_SP	quarto_privativo	4.23	1.58	56	nao	sim	sim	sim	moderada	portugues	3.29	779.53
H000098	5	3	2	Ipanema_RJ	espaco_inteiro	4.19	0.6	27	sim	nao	sim	nao	rigorosa	portugues	0.69	1084.49
H000099	4	1	1	Ipanema_RJ	espaco_inteiro	4.32	0.46	46	sim	nao	sim	nao	rigorosa	portugues	1.01	1268.63
H000100	1	1	1	Praia_Iracema_Fortaleza_CE	quarto_privativo	4.55	7.33	47	nao	sim	sim	nao	moderada	portugues	2.71	316.46
H000101	3	1	1	Savassi_BH_MG	quarto_privativo	4.83	1.25	27	nao	sim	sim	nao	flexivel	portugues	1.13	783.26
H000102	3	1	1	Asa_Sul_Brasilia_DF	espaco_inteiro	4.81	4.14	37	nao	nao	nao	nao	moderada	portugues	0.58	560.71
H000103	6	3	2	Pinheiros_SP	espaco_inteiro	4.38	6.5	25	nao	sim	sim	nao	moderada	portugues	0.44	933.95
H000104	4	2	2	Praia_Iracema_Fortaleza_CE	espaco_inteiro	4.29	4.56	0	nao	nao	sim	nao	moderada	portugues	2.7	798.34
H000105	3	1	2	Pelourinho_Salvador_BA	espaco_inteiro	4.7	5.14	53	nao	sim	sim	nao	moderada	portugues	8.1	552.71
H000106	5	3	2	Asa_Sul_Brasilia_DF	espaco_inteiro	4.4	4.29	121	sim	sim	sim	sim	rigorosa	ingles	3.05	936.33
H000107	4	2	1	Vila_Madalena_SP	espaco_inteiro	4.82	5.09	26	sim	sim	sim	nao	rigorosa	portugues	3.85	1071.45
H000108	1	1	1	Pinheiros_SP	quarto_privativo	4.73	1.9	162	nao	nao	sim	nao	rigorosa	portugues	0.2	648.83
H000109	2	1	2	Ipanema_RJ	espaco_inteiro	4.61	0.38	185	nao	nao	sim	sim	moderada	portugues	1.96	796.42
H000110	2	1	2	Savassi_BH_MG	espaco_inteiro	4.81	3.51	35	nao	nao	sim	nao	flexivel	portugues	1.46	747.14
H000111	7	3	1	Vila_Madalena_SP	espaco_inteiro	4.76	0.57	41	sim	sim	sim	nao	moderada	portugues	4.79	1198.97
H000112	2	2	1	Copacabana_RJ	espaco_inteiro	4.33	1.47	35	nao	sim	sim	nao	rigorosa	portugues	0.36	503.22
H000113	1	1	1	Pinheiros_SP	quarto_privativo	4.21	0.44	18	nao	sim	sim	nao	rigorosa	portugues	4.8	704.93
H000114	2	1	1	Centro_SP	quarto_privativo	4.52	4.26	41	nao	sim	sim	nao	moderada	portugues	0.84	346.16
H000115	4	2	2	Copacabana_RJ	espaco_inteiro	4.54	0.81	38	sim	sim	sim	nao	moderada	portugues	0.28	1188.86
H000116	2	1	1	Savassi_BH_MG	espaco_inteiro	4.16	5.72	52	nao	nao	sim	nao	flexivel	ingles	2.32	334.29
H000117	5	3	1	Asa_Sul_Brasilia_DF	espaco_inteiro	4.45	2.98	55	nao	sim	sim	sim	flexivel	portugues	2.8	725.72
H000118	2	1	1	Asa_Sul_Brasilia_DF	espaco_inteiro	4.43	1.1	17	nao	sim	sim	nao	moderada	portugues	4.92	500.38
H000119	5	2	2	Vila_Madalena_SP	espaco_inteiro	4.8	0.99	75	nao	nao	nao	nao	rigorosa	frances	0.2	995.43
H000120	5	2	2	Boa_Viagem_Recife_PE	espaco_inteiro	4.93	4.45	41	nao	sim	sim	nao	moderada	portugues	4.35	1032.77
H000121	4	2	2	Centro_SP	espaco_inteiro	4.27	1.35	20	nao	nao	sim	nao	moderada	portugues	2.3	648.48
H000122	1	1	2	Boa_Viagem_Recife_PE	quarto_privativo	4.57	0.44	40	nao	sim	sim	sim	moderada	portugues	15.41	519.19
H000123	10	3	1	Ipanema_RJ	espaco_inteiro	4.75	3.48	56	nao	sim	sim	nao	flexivel	espanhol	5.94	1217.7
H000124	7	3	3	Vila_Madalena_SP	espaco_inteiro	4.43	0.61	136	nao	nao	sim	nao	flexivel	portugues	7.48	850.36
H000125	1	1	1	Ipanema_RJ	espaco_inteiro	4.69	1.61	122	nao	nao	sim	sim	flexivel	portugues	12.87	558.48
H000126	4	1	1	Centro_SP	espaco_inteiro	4.69	2.01	32	nao	nao	sim	nao	rigorosa	frances	5.74	397.39
H000127	7	4	2	Pinheiros_SP	espaco_inteiro	4.74	0.54	43	sim	sim	sim	nao	flexivel	portugues	1.25	1207.79
H000128	3	2	2	Copacabana_RJ	quarto_privativo	4.65	3.79	24	nao	sim	sim	sim	moderada	portugues	8.77	825.7
H000129	2	1	1	Ipanema_RJ	quarto_privativo	4.71	8.17	63	nao	nao	sim	nao	moderada	ingles	8.69	685.79
H000130	3	1	2	Centro_SP	quarto_privativo	4.62	1.13	34	nao	sim	sim	nao	moderada	ingles	3.13	413.64
H000131	6	3	1	Copacabana_RJ	espaco_inteiro	4.06	2.16	42	nao	nao	sim	nao	flexivel	portugues	0.31	811.46
H000132	6	2	2	Praia_Iracema_Fortaleza_CE	espaco_inteiro	4.04	2.98	101	nao	sim	sim	sim	rigorosa	portugues	1.14	708.51
H000133	4	2	1	Centro_SP	espaco_inteiro	4.66	10.69	17	nao	sim	sim	sim	flexivel	portugues	0.79	572.42
H000134	8	4	3	Pinheiros_SP	espaco_inteiro	4.74	1.62	122	nao	sim	sim	nao	rigorosa	espanhol	1.42	777.87
H000135	6	2	2	Centro_SP	espaco_inteiro	4.81	0.67	67	nao	nao	sim	nao	moderada	portugues	4.51	692.96
H000136	4	2	2	Ipanema_RJ	espaco_inteiro	4.61	4.51	118	nao	sim	sim	sim	moderada	portugues	0.72	876.88
H000137	4	2	1	Praia_Iracema_Fortaleza_CE	espaco_inteiro	4.16	15.0	84	nao	nao	sim	nao	moderada	portugues	0.2	631.11
H000138	2	1	1	Vila_Madalena_SP	quarto_privativo	4.63	1.94	95	nao	sim	sim	sim	moderada	portugues	10.54	775.21
H000139	3	1	2	Pelourinho_Salvador_BA	quarto_privativo	4.59	0.74	50	nao	sim	sim	nao	flexivel	portugues	0.59	866.16
H000140	1	1	1	Ipanema_RJ	espaco_inteiro	4.13	4.36	20	nao	sim	sim	nao	rigorosa	portugues	1.45	418.55
H000141	4	2	2	Vila_Madalena_SP	espaco_inteiro	4.63	0.97	30	nao	nao	sim	sim	moderada	portugues	0.99	633.92
H000142	6	3	3	Centro_SP	espaco_inteiro	4.85	1.31	26	nao	nao	sim	nao	moderada	portugues	3.01	900.21
H000143	1	1	1	Praia_Iracema_Fortaleza_CE	quarto_privativo	4.91	4.98	0	nao	sim	sim	nao	moderada	portugues	1.34	654.92
H000144	5	2	1	Centro_SP	espaco_inteiro	4.36	13.97	101	nao	sim	sim	nao	moderada	portugues	2.45	610.04
H000145	6	2	2	Vila_Madalena_SP	espaco_inteiro	4.68	3.04	46	sim	nao	sim	nao	moderada	portugues	0.33	1196.52
H000146	7	2	1	Pinheiros_SP	espaco_inteiro	4.8	2.89	24	nao	sim	sim	sim	moderada	portugues	3.27	1262.31
H000147	6	3	2	Pinheiros_SP	espaco_inteiro	4.64	0.27	180	sim	nao	sim	sim	moderada	portugues	0.86	1067.46
H000148	5	3	2	Centro_SP	espaco_inteiro	4.55	7.48	232	nao	nao	sim	nao	moderada	portugues	1.8	594.47
H000149	6	3	2	Vila_Madalena_SP	espaco_inteiro	4.72	2.48	1	sim	sim	sim	nao	moderada	portugues	2.41	1176.86
H000150	5	1	1	Ipanema_RJ	espaco_inteiro	4.56	1.57	41	nao	nao	sim	nao	flexivel	portugues	1.89	907.1
H000151	7	2	1	Pelourinho_Salvador_BA	espaco_inteiro	4.45	3.48	39	nao	nao	sim	nao	moderada	portugues	2.95	213.4
H000152	3	2	2	Savassi_BH_MG	espaco_inteiro	4.6	0.18	22	sim	sim	sim	nao	flexivel	frances	7.34	814.34
H000153	3	1	2	Copacabana_RJ	espaco_inteiro	4.73	0.17	99	sim	sim	sim	nao	flexivel	portugues	1.44	1037.39
H000154	2	1	2	Centro_SP	quarto_privativo	4.1	4.83	0	nao	sim	sim	nao	rigorosa	portugues	3.54	207.09
H000155	1	1	1	Ipanema_RJ	quarto_privativo	4.5	4.87	150	nao	nao	sim	nao	rigorosa	portugues	2.9	643.92
H000156	3	2	2	Boa_Viagem_Recife_PE	quarto_privativo	4.43	5.34	52	nao	nao	sim	nao	moderada	portugues	4.42	530.09
H000157	4	2	1	Pinheiros_SP	espaco_inteiro	4.52	1.73	170	nao	sim	sim	sim	moderada	frances	0.7	703.79
H000158	3	1	2	Boa_Viagem_Recife_PE	espaco_inteiro	4.38	1.03	49	sim	sim	sim	nao	moderada	portugues	2.7	728.63
H000159	4	3	2	Asa_Sul_Brasilia_DF	espaco_inteiro	4.53	5.21	39	nao	sim	sim	sim	rigorosa	ingles	0.6	647.24
H000160	6	4	2	Pelourinho_Salvador_BA	espaco_inteiro	4.5	0.1	104	nao	sim	sim	nao	flexivel	frances	3.89	743.39
H000161	1	1	1	Ipanema_RJ	quarto_privativo	4.64	4.24	169	nao	sim	sim	nao	flexivel	ingles	0.69	869.0
H000162	8	4	3	Savassi_BH_MG	espaco_inteiro	4.53	3.52	151	sim	sim	sim	nao	flexivel	portugues	0.89	1052.73
H000163	1	1	1	Copacabana_RJ	espaco_inteiro	4.21	0.98	0	sim	sim	sim	nao	rigorosa	ingles	1.83	599.71
H000164	8	4	3	Ipanema_RJ	espaco_inteiro	4.57	3.05	126	nao	nao	sim	nao	moderada	portugues	3.01	862.84
H000165	6	4	3	Centro_SP	espaco_inteiro	4.26	2.08	38	nao	nao	sim	sim	moderada	portugues	1.64	836.75
H000166	1	1	1	Pinheiros_SP	espaco_inteiro	4.78	3.13	45	nao	sim	sim	sim	moderada	portugues	4.78	833.08
H000167	5	2	2	Pelourinho_Salvador_BA	espaco_inteiro	4.22	2.74	37	nao	nao	sim	nao	rigorosa	espanhol	0.66	481.22
H000168	10	5	3	Pelourinho_Salvador_BA	espaco_inteiro	4.61	12.11	30	nao	sim	sim	sim	flexivel	ingles	3.69	726.07
H000169	10	3	3	Pinheiros_SP	espaco_inteiro	4.65	1.35	42	sim	sim	sim	sim	moderada	portugues	5.37	1338.37
H000170	9	5	3	Praia_Iracema_Fortaleza_CE	espaco_inteiro	4.64	1.59	21	nao	nao	sim	sim	rigorosa	ingles	4.63	796.82
H000171	3	2	1	Pinheiros_SP	quarto_privativo	4.62	1.78	126	nao	sim	sim	nao	flexivel	portugues	2.35	862.9
H000172	3	1	1	Centro_SP	quarto_privativo	4.06	4.18	83	nao	sim	sim	nao	moderada	portugues	5.49	465.71
H000173	7	3	3	Pinheiros_SP	espaco_inteiro	4.32	4.45	60	nao	sim	sim	nao	flexivel	portugues	2.06	758.43
H000174	3	2	2	Praia_Iracema_Fortaleza_CE	quarto_privativo	4.34	1.56	37	nao	nao	sim	nao	flexivel	portugues	0.33	446.03
H000175	5	2	1	Copacabana_RJ	espaco_inteiro	4.74	3.52	32	nao	sim	sim	nao	flexivel	portugues	1.66	1022.29
H000176	3	1	1	Ipanema_RJ	quarto_privativo	4.57	1.19	69	nao	nao	sim	sim	moderada	ingles	2.19	556.27
H000177	6	2	2	Vila_Madalena_SP	espaco_inteiro	4.63	2.19	61	sim	sim	sim	nao	flexivel	frances	0.2	837.46
H000178	2	1	1	Praia_Iracema_Fortaleza_CE	quarto_privativo	4.9	7.3	109	nao	sim	sim	nao	moderada	portugues	2.44	650.1
H000179	5	2	1	Savassi_BH_MG	espaco_inteiro	4.62	0.79	32	nao	sim	sim	nao	moderada	portugues	0.25	712.54
H000180	2	1	1	Asa_Sul_Brasilia_DF	espaco_inteiro	4.38	2.01	30	sim	nao	sim	nao	flexivel	portugues	6.66	896.97
H000181	5	3	1	Savassi_BH_MG	espaco_inteiro	4.21	2.37	81	nao	sim	sim	nao	moderada	portugues	0.2	665.63
H000182	6	3	3	Savassi_BH_MG	espaco_inteiro	4.51	0.6	93	nao	nao	sim	sim	rigorosa	portugues	2.16	500.39
H000183	6	2	2	Centro_SP	espaco_inteiro	4.86	1.57	221	nao	nao	sim	nao	flexivel	portugues	3.92	597.17
H000184	6	2	2	Pinheiros_SP	espaco_inteiro	4.66	0.33	1	sim	sim	sim	nao	flexivel	portugues	7.66	1154.08
H000185	1	1	1	Pelourinho_Salvador_BA	quarto_privativo	4.48	8.38	131	nao	sim	sim	sim	flexivel	portugues	1.65	566.5
H000186	5	4	3	Boa_Viagem_Recife_PE	espaco_inteiro	4.35	3.91	56	nao	sim	sim	sim	rigorosa	espanhol	2.26	781.99
H000187	7	2	1	Pinheiros_SP	espaco_inteiro	4.58	0.86	34	nao	nao	sim	nao	rigorosa	portugues	1.04	986.91
H000188	3	2	1	Ipanema_RJ	espaco_inteiro	4.33	5.29	70	nao	nao	sim	nao	moderada	portugues	4.26	699.74
H000189	1	1	1	Asa_Sul_Brasilia_DF	quarto_privativo	4.83	1.02	68	nao	sim	sim	nao	flexivel	portugues	1.06	780.84
H000190	1	1	1	Pinheiros_SP	quarto_privativo	4.53	0.78	35	nao	nao	sim	sim	moderada	portugues	4.03	621.81
H000191	4	2	2	Praia_Iracema_Fortaleza_CE	quarto_privativo	4.6	8.8	0	nao	sim	sim	nao	moderada	portugues	3.81	830.17
H000192	9	4	3	Copacabana_RJ	espaco_inteiro	4.6	0.2	131	sim	nao	sim	sim	moderada	portugues	9.33	1076.17
H000193	9	3	2	Copacabana_RJ	espaco_inteiro	4.18	3.61	28	nao	nao	sim	nao	flexivel	portugues	2.62	650.6
H000194	1	1	1	Pelourinho_Salvador_BA	espaco_inteiro	4.5	1.53	24	nao	sim	sim	sim	flexivel	portugues	1.3	208.83
H000195	5	3	2	Copacabana_RJ	espaco_inteiro	4.6	0.61	30	sim	sim	sim	sim	rigorosa	portugues	1.36	1233.65
H000196	2	2	1	Copacabana_RJ	espaco_inteiro	4.14	0.69	90	nao	sim	sim	nao	rigorosa	portugues	14.59	758.1
